Campaign_id,start_date,end_date,Impression,duration_days,CW0,CW1,CW2,CW3,CW4,CW5,CW6,CW7,CW8,CW9,CW10,CW11,CW12,CW13,CW14,CW15,CW16,CW17,CW18,CW19,CW20,CW21,CW22,CW23,CW24,CW25,CW26,CW27,CW28,CW29,CW30,CW31,CW32,CW33,CW34,CW35,CW36,CW37,CW38,CW39,CW40,CW41,CW42,CW43,CW44,CW45,CW46,CW47,CW48,CW49,CW50,CW51,CW52,total_weeks
52239455,2017-12-13 00:00:00,2017-12-22 00:00:00,5802800,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2901400,2901400,0,2
52240010,2017-07-07 00:00:00,2017-07-12 00:00:00,33145791,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16572895,16572896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52240521,2017-11-01 00:00:00,2017-11-06 00:00:00,26303531,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21919609,4383922,0,0,0,0,0,0,0,2
52240976,2017-03-09 00:00:00,2017-03-09 00:00:00,9177797,1,0,0,0,0,0,0,0,0,0,0,9177797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52241009,2017-12-01 00:00:00,2017-12-31 00:00:00,1590299,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153900,359099,359100,359100,359100,5
52242485,2017-02-04 00:00:00,2017-02-23 00:00:00,1899991,20,0,0,0,0,0,189999,664997,664997,379998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
52242557,2017-01-16 00:00:00,2017-01-22 00:00:00,2549968,7,0,0,0,2549968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52243426,2017-04-06 00:00:00,2017-04-17 00:00:00,861541,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287180,502566,71795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52244311,2017-06-18 00:00:00,2017-06-18 00:00:00,1159972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52244578,2017-12-28 00:00:00,2017-12-28 00:00:00,1677683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677683,1
52244755,2017-12-11 00:00:00,2017-12-24 00:00:00,1500559,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750279,750280,0,2
52245268,2017-08-06 00:00:00,2017-08-14 00:00:00,15410168,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712241,11985686,1712241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52245937,2017-11-19 00:00:00,2017-11-25 00:00:00,1274080,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182011,1092069,0,0,0,0,0,2
52245976,2017-02-27 00:00:00,2017-02-28 00:00:00,1487909,2,0,0,0,0,0,0,0,0,0,1487909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52247341,2017-01-16 00:00:00,2017-01-16 00:00:00,5677916,1,0,0,0,5677916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52247657,2017-04-06 00:00:00,2017-04-30 00:00:00,4952194,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792351,1386614,1386614,1386615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
